#Tissue: Lung (Deflated)
#Frequency Hz	Permittivity	Elec. Cond. (S/m)
1	10401423.733412666	0.20005518512092674
2	10115366.472595828	0.20021433039898634
3	9673890.148619777	0.20046009583038174
4	9119890.143960018	0.2007685958200349
5	8498836.982619409	0.20111452155269846
6	7851421.935007167	0.20147522693800468
7	7209537.277959263	0.2018329631571493
8	6595337.389398653	0.20217540022590907
9	6022287.5154126985	0.20249504311052482
10	5497075.490969412	0.20278816791774146
20	2493652.3151099067	0.2044731778969429
30	1490369.7679174526	0.20505317274531168
40	1075390.778201263	0.20531268309818396
50	868583.744154921	0.20546254663483884
60	751060.7235657747	0.20556840169088125
70	677613.7801338045	0.2056549803943736
80	628281.0861542113	0.20573302672436317
90	593204.0211972381	0.2058077054493853
100	567077.4109911931	0.20588167996144427
200	461249.4508157292	0.20672067990459758
300	416741.18447759876	0.20774982673061104
400	383160.1371419389	0.20888776946753215
500	354481.43271017337	0.21007035443394934
600	329189.07873980043	0.21125650289586523
700	306649.8385885728	0.2124210009434793
800	286472.47373231145	0.2135490470273213
900	268356.2619191946	0.21463257757310641
1000	252048.62377627287	0.21566784057757002
1100	237331.16119727254	0.21665380376894094
2000	151864.42554116432	0.22360017446539546
3000	106383.72430972513	0.22862527576323033
4000	81386.65066601832	0.23215709690336245
5000	65826.27370814241	0.23484370000736526
6000	55289.66288131878	0.23700138059869824
7000	47714.02659131961	0.23880176227987895
8000	42018.72994561734	0.2403464850737226
9000	37587.24640211256	0.24170002297576934
10000	34043.855711617376	0.2429055548117021
20000	18149.795728563713	0.25083819956481096
30000	12844.621853168808	0.25561433258961563
40000	10163.102278634111	0.2591335790976988
50000	8531.402329733082	0.2619664238058691
60000	7427.159133822296	0.26436407621254027
70000	6626.402543216956	0.26646040910199076
80000	6016.808347927206	0.26833559317348576
90000	5535.6950801971725	0.27004159554259544
100000	5145.25500277443	0.2716140902715795
200000	3279.6343529859614	0.28349342195495697
300000	2566.9484679114184	0.29237590308039363
400000	2160.6699959151424	0.300042347974924
500000	1884.2551879556677	0.3069732274814864
600000	1677.385477679435	0.3133410363014727
700000	1513.628492273149	0.3192233962081439
800000	1379.358449882024	0.32466682821145965
900000	1266.660243042963	0.3297078346067384
1000000	1170.4947913723954	0.33437963365697465
1100000	1087.4200754061933	0.3387138842056623
2000000	659.4113367326132	0.3668524475831374
3000000	462.20953574694937	0.3855049928200228
4000000	361.2717584628395	0.3982645418550149
5000000	300.67726726648897	0.4079666442311896
6000000	260.4244219443631	0.41583201496962896
7000000	231.76791530836152	0.42247764764020146
8000000	210.32188324759906	0.42825435747878504
9000000	193.6572451127904	0.43337966663269345
10000000	180.32398184923233	0.4379975573460579
20000000	119.75843207270893	0.46964363529021746
30000000	98.85148591009487	0.4896072995174248
40000000	88.0257336623906	0.5046246743457256
50000000	81.32692857992575	0.5168429883939687
60000000	76.73869489651071	0.5272444575401856
70000000	73.3819385459625	0.5363665234156771
80000000	70.8097065006381	0.5445374607033552
90000000	68.76973034018891	0.551973435868608
100000000	67.10838342729564	0.5588248191270424
200000000	59.15023249298094	0.6103190166784208
300000000	56.18918348523776	0.6489336723511597
400000000	54.583892100106766	0.6834806487921281
500000000	53.55009328445529	0.7168764459608943
600000000	52.813095787170994	0.7504495361610701
700000000	52.25062053800776	0.784909496974747
800000000	51.79960954035816	0.8206726734066918
900000000	51.42410799231529	0.8579980892744536
1000000000	51.102056420729326	0.8970527001434507
