#Tissue: Lung (Inflated)
#Frequency Hz	Permittivity	Elec. Cond. (S/m)
1	40150452.84720936	0.030111043681600287
2	39853911.00695065	0.030440850215916727
3	39369511.482482485	0.030979758550884702
4	38711004.139033295	0.03171245490724977
5	37896283.482403755	0.03261902163927309
6	36946231.93901225	0.033676219561304725
7	35883489.29868086	0.0348588556617177
8	34731268.16064103	0.03614110045837996
9	33512311.14014612	0.03749764792717648
10	32248051.54074497	0.038904649182479066
20	20246140.833351668	0.052264271570712915
30	12552307.149579743	0.06083456777404389
40	8243152.412414466	0.06564243511524986
50	5758909.747291127	0.06842296448116048
60	4240155.74942122	0.0701321087301671
70	3257488.501514693	0.07124741633362094
80	2590010.1159289135	0.07201448040062505
90	2117858.348069286	0.07256650145455415
100	1772394.854665018	0.07297970369761114
200	614165.9906861384	0.07464959737953228
300	379796.91265519406	0.07540402099366982
400	288197.20611051226	0.0760575738042895
500	239131.1747627008	0.07668812612090761
600	207594.3224013124	0.07730255475683687
700	184925.08938343232	0.07789768810891483
800	167433.94133309324	0.0784700757510352
900	153299.05648136133	0.07901757568250711
1000	141513.01311770073	0.07953930811880416
1100	131466.39953795122	0.0800353224675866
2000	79802.72452985958	0.08351852638132773
3000	54910.13689796745	0.08603337742496972
4000	41658.30913226899	0.08779995991881355
5000	33529.48571609783	0.08914343048923104
6000	28071.831055404826	0.090222215417921
7000	24169.871431897634	0.09112222246611522
8000	21248.16830187167	0.09189431211615531
9000	18981.679816314427	0.09257074099876629
10000	17173.70866306331	0.0931731091059338
20000	9111.27474175957	0.097132996220367
30000	6438.083143608094	0.09951079066390302
40000	5090.794012369318	0.10125664272190435
50000	4272.541323502341	0.10265600216154706
60000	3719.685585722039	0.10383464827930765
70000	3319.3967983871844	0.10485967619830365
80000	3015.1576460034025	0.1057713205797629
90000	2775.4557568347514	0.10659570804187145
100000	2581.2951806862748	0.10735081420018902
200000	1664.1232016333636	0.1128686179907335
300000	1327.0897840898544	0.11676987053812841
400000	1143.9755996503757	0.12004513354861827
500000	1024.9689632681832	0.12300875142011154
600000	939.0174095528707	0.12579548329734117
700000	872.4545001444133	0.12847103924361608
800000	818.3162056962163	0.1310692135820359
900000	772.6832874943369	0.13360743509832512
1000000	733.184681090857	0.13609425002684095
1100000	698.303935389979	0.13853327262659507
2000000	491.15846618295353	0.15825798314430994
3000000	363.5410746219272	0.17526298763273593
4000000	284.96425771311914	0.18798974512944688
5000000	233.1189533969451	0.19771342142725337
6000000	197.0525337355636	0.20538679718745026
7000000	170.85064051391947	0.21163542479736802
8000000	151.12198302408882	0.21686408934849252
9000000	135.82053374561565	0.2213396092848794
10000000	123.65566421838099	0.22524282127666728
20000000	70.79539112295811	0.24928586997456673
30000000	54.20700605486798	0.2628213727825487
40000000	46.11768043048367	0.27253124759926045
50000000	41.307331141380466	0.28022489147517227
60000000	38.104601752536524	0.2866606275493506
70000000	35.810849586235946	0.292231817358345
80000000	34.08222633131574	0.2971703061229838
90000000	32.7296127547114	0.30162492928099793
100000000	31.64024375371267	0.3056972737032917
200000000	26.58102539622993	0.3353360511758915
300000000	24.77269916642776	0.3563770488952833
400000000	23.813697476664565	0.37433617874032343
500000000	23.206661422776865	0.39101392489746856
600000000	22.780643898367035	0.4072300534562896
700000000	22.460437439788116	0.42342531424750574
800000000	22.20757569608648	0.43986161445751004
900000000	22.000259173708212	0.45670508814849053
1000000000	21.82517587549264	0.47406584446975597
