#Tissue: Muscle
#Frequency Hz	Permittivity	Elec. Cond. (S/m)
1	26201236.65307056	0.2000201130596088
2	26185296.879992235	0.20008033696832944
3	26159212.991027772	0.20018049238406238
4	26123037.01324538	0.20032032044688297
5	26076851.074483298	0.20049947300505563
6	26020763.078008242	0.20071751205730579
7	25954904.954200126	0.20097391126274403
8	25879431.44021959	0.20126805848467302
9	25794518.963268965	0.20159925904198994
10	25700364.50552561	0.2019667395172977
20	24305976.659491096	0.20742001085365047
30	22304887.58436807	0.2152612522872139
40	20021005.177865293	0.22422718523027232
50	17718930.327120285	0.2332858822539979
60	15566119.996230032	0.2417838416553197
70	13643332.804189892	0.24940523373204626
80	11972547.811106116	0.25606316073905144
90	10542984.262339393	0.2617983299210933
100	9329046.965985162	0.2667091739238203
200	3699185.8583127228	0.29107060266630413
300	2123503.4789680624	0.3001421531398051
400	1452795.2329171724	0.30565777371027747
500	1087483.9323878651	0.3097258765524227
600	858123.5573342835	0.31294356824016845
700	701098.1769746654	0.31556850545948734
800	587329.362528508	0.31774988307920243
900	501553.86777986685	0.3195883399832462
1000	434932.3153139569	0.3211566041743123
1100	381967.6143154732	0.32250898206411416
2000	168024.62231298158	0.32953284594229587
3000	97877.91840724602	0.33308498187859276
4000	68156.55187264753	0.33520263061123623
5000	52349.2371513159	0.3366883263946547
6000	42735.547981505944	0.3378300881173019
7000	36347.996045616586	0.3387589143452079
8000	31829.694547182306	0.3395441242655549
9000	28481.18433434106	0.34022644209235237
10000	25908.71291464739	0.3408316884614978
20000	15521.035355736318	0.34487953632302537
30000	12467.61403502131	0.34754752267762046
40000	10987.8269808205	0.3497751113929981
50000	10093.726875815846	0.35182780827147747
60000	9479.546293419286	0.3538148987813651
70000	9020.111523768996	0.3557891842168951
80000	8654.839398801605	0.3577779997484544
90000	8350.932214370041	0.35979555820363074
100000	8089.154006884203	0.36184869541034287
200000	6377.702564878179	0.38408399880816013
300000	5226.903879294354	0.40693017882849836
400000	4339.27781048336	0.4278203307588114
500000	3647.2728410024138	0.44590991193517654
600000	3105.520664374527	0.4612524163919444
700000	2677.9858726200655	0.47421159361346504
800000	2336.9111167945166	0.48520078650345355
900000	2061.5152829604667	0.49459073398156694
1000000	1836.4240217981253	0.5026873873087687
1100000	1650.2715142658049	0.5097349022174446
2000000	825.9785751133641	0.547620884705516
3000000	522.3505974727042	0.5680571295642631
4000000	384.85853384746906	0.5808379128907599
5000000	308.25788032848976	0.5900913949323016
6000000	259.96909459345665	0.5973505162082082
7000000	226.9385766152085	0.6033344209784329
8000000	203.00117998856567	0.6084340858454651
9000000	184.8924126107643	0.6128846434245356
10000000	170.73178607065373	0.6168382264193909
20000000	110.61958611198793	0.6426777904358312
30000000	91.81171113337389	0.6580387046611045
40000000	82.57635221196388	0.669210090664842
50000000	77.06271526374609	0.6780944197767154
60000000	73.38584440528962	0.6855339866519081
70000000	70.7521509255725	0.6919787277219965
80000000	68.76881186836754	0.697698279317033
90000000	67.21884996846418	0.7028674086981526
100000000	65.9724939905158	0.7076060538262581
200000000	60.228032655409905	0.7430868357991234
300000000	58.20106411504221	0.7705304905777386
400000000	57.12866662394168	0.7963191309358228
500000000	56.4454892589245	0.8224619017063235
600000000	55.95948309607259	0.8498370710956407
700000000	55.587038806248664	0.8788946375198732
800000000	55.2857937910871	0.9098864459169678
900000000	55.03194610118117	0.9429602611892458
1000000000	54.81107669638681	0.9782041326846505
